event,time,pkgSize,numSuccessors
client_welcome,8.73,77,2
client_welcome,9.362,105,4
client_welcome,0.321,63,1
client_welcome,0.854,105,4
client_welcome,0.333,77,2
client_welcome,0.964,105,4
client_welcome,0.036,644,5
client_welcome,12.098,602,2
client_welcome,11.646,616,3
client_welcome,13.148,602,2
client_welcome,13.174,630,4
client_welcome,7.087,602,2
client_welcome,6.629,616,3
client_welcome,8.135,602,2
client_welcome,8.161,630,4
client_welcome,0.026,602,2
client_welcome,0.05,616,3
client_welcome,0.09,602,2
client_welcome,0.115,630,4
client_welcome,11.347,588,1
client_welcome,12.872,602,2
client_welcome,12.902,616,3
client_welcome,6.333,588,1
client_welcome,7.86,602,2
client_welcome,7.89,616,3
client_welcome,0.035,588,1
client_welcome,0.048,602,2
client_welcome,0.076,616,3
client_welcome,0.03,630,4
client_welcome,12.405,602,2
client_welcome,13.423,588,1
client_welcome,13.459,616,3
client_welcome,7.394,602,2
client_welcome,8.409,588,1
client_welcome,8.445,616,3
client_welcome,0.044,602,2
client_welcome,0.059,588,1
client_welcome,0.096,616,3
client_welcome,0.023,630,4
client_welcome,10.457,588,1
client_welcome,5.44,588,1
client_welcome,0.043,588,1
client_welcome,0.034,418,2
client_welcome,0.046,432,3
