event,time,pkgSize,numSuccessors
rtt,0.045,65627,2
rtt,7.026,16777298,2
rtt,0.007,338,1
rtt,0.019,4178,3
rtt,0.006,107,3
rtt,0.013,99,2
rtt,0.016,104,2
rtt,0.004,104,2
rtt,0.035,83,4
rtt,0.01,102,4
rtt,0.565,1048663,2
rtt,0.432,1048662,2
rtt,0.007,92,2
rtt,0.194,262220,7
rtt,0.023,88,8
rtt,0.042,86,8
rtt,0.02,338,8
rtt,0.015,86,8
rtt,0.046,16471,8
